Part type;Job order;Operation number of detection;NC description;NC Code;Nomial;FLowerTolerance;FUpperTolerance;Measured Value;FDefectDesc_EN;Fqccomments_EN;MachineNum of detection;Operator of detection;Date of detection;Operation number of occurrence;operator of machining;MachineNum of occurrence;Date of machining;Root cause of occurrence;Corrective actions;extracted_machines;extracted_nc_codes;extracted_operations;defect_type;root_cause;root_cause_category;corrective_category;fqc_category;fqc_dates;fqc_dept_codes;defect_category
AA1;AA1_003763;7200;CO2710 is non conforming;CO2710;27;-1;1;;;;CCCC-04-01;EM1383;;1200;;AAAA-02-09;;;;;CO2710;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003040;7200;TR0313 is non conforming;TR0313;0;;;;;;CCCC-04-02;EM2295;;4000;;;;BBBB-02-05 has deviation on centering;Cancelled compensation 0.005;BBBB-02-05;TR0313;;process;BBBB-02-05 has deviation on centering;Machine BBBB-02-05 Centering;Cancelled Compensation 0.005;Undefined;;;Undefined
AA2;AA2_003036;7200;EL0509 is non conforming;EL0509;0;;3;;DA2512100009after re-measurement;awaiting QA confirmation. 2025.12.14CCCC-04-01 2025.01.05;CCCC-04-03;EM1060;;1000;;AAAA-02-11;;;;;EL0509;;measurement;;Undefined;Action Not Specified (NaN);Pending Decision;"2025.12.14; 2025.01.05";CCCC-04-01;DA2512100009 (Post-Check)
AA1;AA1_003851;1200;PO3 is non conforming;PO3;;;;;dimension out of tolerance;;AAAA-02-09;EM2318;;1200;;AAAA-02-09;;;Lesson&learn;;;;dimensional;;Undefined;Lesson & Learn;Undefined;;;General Out of Tolerance
AA2;AA2_003055;7200;EL0509 is non conforming;EL0509;0;;3;;;;CCCC-04-04;EM2253;;1000;;AAAA-02-11;;;;;EL0509;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003875;4940;Appearance is non conforming;Appearance;;;;;;;;EM1060;;4940;;;;1. Marking NC due to marking machine precision NOK;Maintenance marking machine;;;;marking;1. Marking NC due to marking machine precision NOK;Other;Maintenance marking machine;Undefined;;;Undefined
AA1;AA1_003868;4940;Appearance is non conforming;Appearance;;;;;;QA verbal recommendation: continue. 2025.12.23;;EM1060;;4940;;;;1. Marking NC due to marking machine precision NOK;Maintenance marking machine;;;;dimensional;1. Marking NC due to marking machine precision NOK;Other;Maintenance marking machine;Decision: Proceed/Accept;2025.12.23;;Undefined
AA2;AA2_003037;4800;DI1413 is non conforming;DI1413;2;;;;;;CCCC-04-06;EM2512;;4000;;BBBB-02-06;;;;;DI1413;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003037;4800;TR0313 is non conforming;TR0313;0;;;;;;CCCC-04-06;EM2512;;4000;;BBBB-02-06;;BBBB-02-05 deviation on cerntering;Cancelled compensation 0.005;BBBB-02-05;TR0313;;process;BBBB-02-05 deviation on cerntering;Machine BBBB-02-05 Centering;Cancelled Compensation 0.005;Undefined;;;Undefined
AA1;AA1_003888;7200;AL0112 is non conforming;AL0112;0;0;4;;;;CCCC-04-01;EM2243;;2200;;;;;;;AL0112;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003078;7200;EL0612 is non conforming;EL0612;22;-1;1;;;;CCCC-04-02;EM2013;;1200;;;;;;;EL0612;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003077;7200;CO3410 is non conforming;CO3410;;;;;;;CCCC-04-02;EM31;;1200;;;;;;;CO3410;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_002961;40;AL0194 is non conforming;AL0194;0;0;3;;DA2511060004 after rework dimension out of tolerance;;CCCC-04-01;EM891;;2200;;;;;;;AL0194;;dimensional;;Undefined;Action Not Specified (NaN);Undefined;;;Post-Rework Failure
AA1;AA1_003808;4000;TR0112 is non conforming;TR0112;;;;;;;BBBB-02-02;EM2128;;4000;;BBBB-02-02;;;;;TR0112;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003826;7200;CO2710 is non conforming;CO2710;27;-1;1;;;;CCCC-04-01;EM2294;;1200;;AAAA-02-09;;;;;CO2710;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003849;1600;Appearance is non conforming;Appearance;;;;;;;AAAA-02-10;EM2219;;4940;;;;1. Marking NC due to marking machine precision NOK;Maintenance marking machine;;;;marking;1. Marking NC due to marking machine precision NOK;Other;Maintenance marking machine;Undefined;;;Undefined
AA1;AA1_003840;7400;Appearance is non conforming;Appearance;;;;;;;;EM891;;4940;;;;1. Marking NC due to marking machine precision NOK;Marking machine maintenance ;;;;marking;1. Marking NC due to marking machine precision NOK;Other;Marking machine maintenance;Undefined;;;Undefined
AA2;AA2_003015;7400;Dent is non conforming;Dent;;;;;non-balance side marking flange hole 28 front arm inclined surface dent.;;;EM2217;;0;;;;most caused by the transportation process;;;;;surface;most caused by the transportation process;Logistics & Transport;Action Not Specified (NaN);Undefined;;;Flange Surface Dent
AA1;AA1_003828;7300;EL0112 is non conforming;EL0112;0;0;1;;;;;EM1323;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Undefined;;;Undefined
AA1;AA1_003837;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA decision. 2025.12.8;;EM1187;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;;;Undefined
AA2;AA2_003035;7220;Marking error is non conforming;Marking error;;;;;;;MARK-05-01;EM1324;;4940;;;;Marking machine precision NOK;Maintenance marking machine;;;;marking;Marking machine precision NOK;Marking Precision;Maintenance marking machine;Undefined;;;Undefined
AA2;AA2_003039;5800;Dent is non conforming;Dent;;;;;;;;EM1679;;0;;;;most caused by the transportation process;;;;;surface;most caused by the transportation process;Logistics & Transport;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003854;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA confirmation. 2025.12.11;;EM2512;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;2025.12.11;;Undefined
AA1;AA1_003850;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA confirmation. 2025.12.12;;EM2243;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;2025.12.12;;Undefined
AA1;AA1_003859;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA confirmation. 2025.12.15;;EM2295;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;2025.12.15;;Undefined
AA1;AA1_003841;7300;EL0112 is non conforming;EL0112;0;0;1;;;;;EM2512;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Undefined;;;Undefined
AA1;AA1_003867;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA confirmation. 2025.12.23;;EM348;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;2025.12.23;;Undefined
AA1;AA1_003884;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA decision. 2025.12.23;;EM1893;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;2025.12.23;;Undefined
AA1;AA1_003868;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA decision. 2025.12.25;;EM2013;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;2025.12.25;;Undefined
AA1;AA1_003888;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA decision. 2025.12.25;;EM1893;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;2025.12.25;;Undefined
AA1;AA1_003849;7300;EL0112 is non conforming;EL0112;0;0;1;;;awaiting QA confirmation. 025.12.26;CCCC-04-01;EM1187;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Pending Decision;;;Undefined
AA1;AA1_003889;7300;EL0112 is non conforming;EL0112;0;0;1;;;;;EM348;;1200;;AAAA-02-06;;1. Related to EL2415 NC;Cancel releasing clamping force;;EL2415, EL0112;;unknown;1. Related to EL2415 NC;Related to NC EL2415;Cancel Releasing Clamping Force;Undefined;;;Undefined
AA1;AA1_003792;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-06;EM1187;;1200;;AAAA-02-09;;;;;CO1210;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003807;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-01;EM1187;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003802;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-03;EM2013;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003801;7200;CO1210 is non conforming;CO1210;;;;;OP7200 DA;;CCCC-04-01;EM1782;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210, OP7200;OP7200;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;OP7200 DA Operation
AA1;AA1_003801;7200;CO2910 is non conforming;CO2910;;;;;OP7200 DA;;CCCC-04-01;EM1782;;1200;;AAAA-02-09;;;;;CO2910, OP7200;OP7200;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;OP7200 DA Operation
AA1;AA1_003813;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-01;EM31;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003813;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM31;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003813;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM31;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003819;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-04;EM348;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003822;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM1187;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003804;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-04;EM2294;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003804;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-04;EM2294;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003791;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-02;EM781;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003809;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-01;EM2243;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003811;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-01;EM1187;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003811;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM1187;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003811;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM1187;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003818;7200;CO1210 is non conforming;CO1210;;;;;CO2910-R342 out of tolerance;;CCCC-04-01;EM2294;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910, CO1210;;dimensional;;Undefined;Add Manual Tool Calibration;Undefined;;;CO2910-R342 Out of Tolerance
AA1;AA1_003816;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-02;EM1323;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003820;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-02;EM2294;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003824;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-02;EM2295;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003826;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-01;EM2294;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003842;7200;CO2910 is non conforming;CO2910;;;;;CO2910-R342;;CCCC-04-03;EM2253;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;CO2910-R342 Deviation
AA1;AA1_003845;7200;CO2910 is non conforming;CO2910;;;;;;Awaiting QA's response on whether to conduct a retest. 2025.12.12;CCCC-04-01;EM31;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Pending Decision;2025.12.12;;Undefined
AA1;AA1_003850;7200;CO2910 is non conforming;CO2910;;;;;;Awaiting QA's response on whether to conduct a retest. 2025.12.12FCTD see attachment. 2025.12.12;CCCC-04-02;EM2243;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;measurement;;Undefined;Add Manual Tool Calibration;Pending Decision;"2025.12.12; 2025.12.12";;Undefined
AA1;AA1_003850;7200;CO2910 is non conforming;CO2910;;;;;;Awaiting QA's response on whether to conduct a retest. 2025.12.12FCTD see attachment. 2025.12.12;CCCC-04-02;EM2243;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;measurement;;Undefined;Add Manual Tool Calibration;Pending Decision;"2025.12.12; 2025.12.12";;Undefined
AA1;AA1_003817;7200;CO2910 is non conforming;CO2910;;;;;CO2910-R342;;CCCC-04-02;EM2253;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;CO2910-R342 Deviation
AA1;AA1_003861;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-02;EM1323;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA2;AA2_003051;7400;Appearance is non conforming;Appearance;;;;;;;;EM752;;4940;;;;1. Marking NC due to marking machine precision NOK;Maintenance marking machine;;;;marking;1. Marking NC due to marking machine precision NOK;Other;Maintenance marking machine;Undefined;;;Undefined
AA2;AA2_003045;7200;EL0409 is non conforming;EL0409;0;;2;;;awaiting QA decision. 2025.12.18;CCCC-04-02;EM1894;;1200;;AAAA-02-11;;;;;EL0409;;unknown;;Undefined;Action Not Specified (NaN);Pending Decision;2025.12.18;;Undefined
AA1;AA1_003867;7200;CO2910 is non conforming;CO2910;;;;;CO2910-R342;;CCCC-04-01;EM2243;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;CO2910-R342 Deviation
AA1;AA1_003859;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM891;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003859;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-01;EM891;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003881;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-03;EM2013;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003881;7200;CO2910 is non conforming;CO2910;;;;;;after OP7300QA. 2025.12.22FCTD see attachment. 2025.12.25;CCCC-04-03;EM2013;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;measurement;;Undefined;Add Manual Tool Calibration;Measurement/Verification;"2025.12.22; 2025.12.25";;Undefined
AA1;AA1_003884;7200;CO2910 is non conforming;CO2910;;;;0;OP7200 DA;;CCCC-04-01;EM1782;;1200;;AAAA-02-06;;1. NOT DETERMINED YET;Add manual tool calibration;;CO2910, OP7200;OP7200;unknown;1. NOT DETERMINED YET;Other;Add Manual Tool Calibration;Undefined;;;OP7200 DA Operation
AA2;AA2_003033;7200;EL0609 is non conforming;EL0609;0;;2;;;;CCCC-04-02;EM891;;0;;;;;;;EL0609;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA2;AA2_003033;7200;CO2410 is non conforming;CO2410;35;;;;;;CCCC-04-02;EM891;;0;;;;;;;CO2410;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003894;7200;DI1104 is non conforming;DI1104;0;;;;;;CCCC-04-01;EM1383;;0;;;;;;;DI1104;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003888;7200;DI1104 is non conforming;DI1104;0;;;;;;CCCC-04-01;EM2243;;0;;;;;;;DI1104;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003888;7200;AL0212 is non conforming;AL0212;0;0;4;;;;CCCC-04-01;EM2243;;0;;;;;;;AL0212;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003888;7200;AL0102 is non conforming;AL0102;;;2;;;;CCCC-04-01;EM2243;;0;;;;;;;AL0102;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003895;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM1187;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003895;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM1187;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003893;7200;CO2910 is non conforming;CO2910;;;;;CO2910-R342;;CCCC-04-03;EM2243;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;CO2910-R342 Deviation
AA2;AA2_003076;7300;EL0212 is non conforming;EL0212;0;0;1;;;;;EM2253;;0;;;;;;;EL0212;;unknown;;Undefined;Action Not Specified (NaN);Undefined;;;Undefined
AA1;AA1_003900;7200;CO2910 is non conforming;CO2910;;;;;CO2910-R342;;CCCC-04-01;EM2253;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;CO2910-R342 Deviation
AA1;AA1_003789;7400;Scratch is non conforming;Scratch;;;;;balance side marking 29 th flange scratch;;;EM2217;;0;;;;;;;;;surface;;Undefined;Action Not Specified (NaN);Undefined;;;Flange Scratch
AA1;AA1_003826;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM2294;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003826;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM2294;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003833;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM1893;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003834;7200;CO2910 is non conforming;CO2910;;;;;;;CCCC-04-01;EM2243;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003837;7200;CO2910 is non conforming;CO2910;;;;;;after OP7300 QA will confirm whether retesting is required. 2025.12.7;CCCC-04-01;EM1187;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO2910, OP7300;OP7300;unknown;;Undefined;Add Manual Tool Calibration;Measurement/Verification;;;Undefined
AA1;AA1_003841;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-01;EM2243;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003825;7200;CO1210 is non conforming;CO1210;;;;;;after OP7300 awaiting QA confirmation whether retesting is required . 2025.12.08;CCCC-04-04;EM1187;;1200;;AAAA-02-09;;;Add manual tool calibration;;CO1210, OP7300;OP7300;unknown;;Undefined;Add Manual Tool Calibration;Pending Decision;2025.12.08;;Undefined
AA1;AA1_003844;7200;CO1210 is non conforming;CO1210;;;;;;;CCCC-04-03;EM1323;;1200;;AAAA-02-06;;;Add manual tool calibration;;CO1210;;unknown;;Undefined;Add Manual Tool Calibration;Undefined;;;Undefined
AA1;AA1_003721;7200;EL2415 is non conforming;EL2415;0;0;;;OP7200 DA;;CCCC-04-01;EM1782;;1200;;AAAA-02-09;;;Cancel releasing clamping force;;EL2415, OP7200;OP7200;unknown;;Undefined;Cancel Releasing Clamping Force;Undefined;;;OP7200 DA Operation
