Part type;Job order;Operation number of detection;NC description;NC Code;Nomial;FLowerTolerance;FUpperTolerance;Measured Value;FDefectDesc_EN;Fqccomments_EN;MachineNum of detection;Operator of detection;Date of detection;Operation number of occurrence;operator of machining;MachineNum of occurrence;Date of machining;Root cause of occurrence;Corrective actions
AA1;AA1_003868;4940;Appearance is non conforming;Appearance;;;;;DA2512170127after rework,serial number PF and 545,reference number 039---, rib in the middle of the slot is offset,;QA verbal recommendation: continue. 2025.12.23;/;EM1060;12/23/25;4940;;;;1. Marking NC due to marking machine precision NOK;Maintenance marking machine
AA2;AA2_003037;4800;DI1413 is non conforming;DI1413;2;;;2,25;/;waiting for QA reply, 2025.12.24 TR0313 mini program 2025-12-29 CCCC-04-02 #re-measurement completed, QA paused, awaiting concession, 2025.12.30, DA: 63.61no-go gauge, 64.5no-go gauge OK,awaiting QA confirmation. 2025.12.31 DA updated,OP7200 report 2026-01-05 CCCC-04-01# re-measurement completed,see attachment2026.01.06;CCCC-04-06;EM2512;12/24/25;4000;5/14/11;BBBB-02-06;12/19/25;not clear, only one case;N/A
AA2;AA2_003037;4800;TR0313 is non conforming;TR0313;0;;0,5;2,49;/;waiting for QA reply, 2025.12.24 TR0313 mini program 2025-12-29 CCCC-04-02 #re-measurement completed, QApaused, awaiting concession, 2025.12.30, DA: 63.61 no-go gauge, 64.5no-go gauge OK,awaiting QA confirmation. 2025.12.31 DA updated,OP7200 report 2026-01-05 CCCC-04-01# re-measurement completed,see attachment 2026.01.06;CCCC-04-06;EM2512;12/24/25;4000;5/14/11;BBBB-02-06;12/19/25;BBBB-02-05 deviation on cerntering;Cancelled compensation 0.005
AA1;AA1_003888;7200;AL0112 is non conforming;AL0112;0;0;4;4,56;/;after OP7300QA, 2025.12.25see after re-measurement(AL0102)(AL0112)(AL0212)see mini programafter re-measurement DA2512260120 result. DI1104 awaiting QA decision, 2025.12.26;CCCC-04-01;EM2243;12/25/25;2200;;;;Only 1 case, not cear;N/A
AA2;AA2_003077;7200;CO3410 is non conforming;CO3410;120,3;-0,75;0,75;;,;recommendation: continue, 2025.12.29;CCCC-04-02;EM31;12/29/25;1200;;;;not clear, may be deviation of different machine;N/A
AA2;AA2_002961;40;AL0194 is non conforming;AL0194;0;0;3;3,09;DA2511060004 after rework dimension out of tolerance;waiting for QA decision, 2025.11.15;CCCC-04-01;EM891;11/15/25;2200;;;;;
AA1;AA1_003808;4000;TR0112 is non conforming;TR0112;63,61;-0,11;0,11;;After the workpiece processing was completed, an inspection revealed that the diameters of the three holes on the flange skirt of the balancing surface, namely the 8th, 39th, and 40th holes in a counterclockwise direction, were acceptable. All other holes were not passable with a go gauge, and there were steps at the bottom of the holes. The involved cutting tools have been collected, the equipment did not alarm, and the cutting fluid did not stop flowing.;awaiting QA confirmation 2025.11.17 returned to production for rework, 2025.12.03 DA updated: rework orderresult, visual OK. 2025.12.3 QA wenxin confirmed,The processes after step 2 of the rework order have been reprinted and continue to be reworked for production. Updated DA on 2025.12.04: Based on the results of the rework order, visual inspection is OK. 2025.12.11;BBBB-02-02;EM2128;11/17/25;4000;12/31/99;BBBB-02-02;12/3/25;;
AA1;AA1_003826;7200;CO2710 is non conforming;CO2710;27;-1;1;26,57;CO2910-R342 is the second DA, and CO2910-335 is the third DA;after OP7300 awaiting QA confirmation, 2025.12.02 FCTD see attachment2025.12.03;CCCC-04-01;EM2294;12/2/25;1200;7/20/12;AAAA-02-09;11/21/25;Not clear, YTD DA rate 1%;N/A
AA1;AA1_003849;1600;Appearance is non conforming;Appearance;;;;;After processing, a pit was found on the inner diameter of the non-machined surface of OP1600;confirmed, 2025.12.03 paused, see attachment, waiting for QA decision, 2025.12.03 returned to production for rework, 2025.12.04, rework completed, rework result OK,2025.12.08;AAAA-02-10;EM2219;12/3/25;4940;;;;1. Marking NC due to marking machine precision NOK;Maintenance marking machine
AA1;AA1_003840;7400;Appearance is non conforming;Appearance;;;;;The marking character at the end of the 3-digit tail of 301 is faint,;The dot at the end of the 3-digit tail of 301 is unrecognizable, awaiting QA confirmation, 2025.12.08 DA updated: see attachment, awaiting QA decision. 2025.12.9;/;EM891;12/8/25;4940;;;;1. Marking NC due to marking machine precision NOK;Marking machine maintenance 
AA2;AA2_003015;7400;Dent is non conforming;Dent;;;;;non-balance side marking flange hole 28 front arm inclined surface dent.;non-balance side marking flang ehole 28 front arm inclined surface bulge, 15um, awaiting QA confirmation. 2025.11.27 returned to production for rework 2025.12.03. DA updated: rework order rework completed, result OK,2025.12.12.;/;EM2217;11/27/25;0;;;;most caused by the transportation process;N/A
AA1;AA1_003828;7300;EL0112 is non conforming;EL0112;0;0;1;;/;awaiting QA confirmation, 2025.12.02 sent to production for re-measurement FCTD,2025.12.03 FCTD see attachment2025.12.04;/;EM1323;12/2/25;1200;7/31/11;AAAA-02-06;11/24/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003837;7300;EL0112 is non conforming;EL0112;0;0;1;240,23;/;awaiting QA decision. 2025.12.8;/;EM1187;12/7/25;1200;4/6/13;AAAA-02-06;11/27/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA2;AA2_003035;7220;Marking error is non conforming;Marking error;;;;;The inner diameter value of op7220 is marked on the previous tooth, with only one tooth in between;confirmed, 2025.12.09 QA lihong reply on teams: continue operation, , 2025.12.09;MARK-05-01;EM1324;12/9/25;4940;;;;Marking machine precision NOK;Maintenance marking machine
AA1;AA1_003854;7300;EL0112 is non conforming;EL0112;0;0;1;240,23;/;awaiting QA confirmation. 2025.12.11;/;EM2512;12/11/25;1200;10/20/09;AAAA-02-06;12/4/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003850;7300;EL0112 is non conforming;EL0112;0;0;1;;/;awaiting QA confirmation. 2025.12.12;/;EM2243;12/12/25;1200;2/27/12;AAAA-02-06;12/2/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003859;7300;EL0112 is non conforming;EL0112;0;0;1;240,33;/;awaiting QA confirmation. 2025.12.15;/;EM2295;12/15/25;1200;9/22/12;AAAA-02-06;12/5/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003841;7300;EL0112 is non conforming;EL0112;0;0;1;240,23;/;awaiting QA confirmation, 2025.12.17;/;EM2512;12/17/25;1200;2/13/10;AAAA-02-06;11/30/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003867;7300;EL0112 is non conforming;EL0112;0;0;1;240,33;/;awaiting QA confirmation. 2025.12.23;/;EM348;12/23/25;1200;2/13/10;AAAA-02-06;12/6/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003884;7300;EL0112 is non conforming;EL0112;0;0;1;240,33;/;awaiting QA decision. 2025.12.23;/;EM1893;12/23/25;1200;2/13/10;AAAA-02-06;12/13/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003868;7300;EL0112 is non conforming;EL0112;0;0;1;;/;awaiting QA decision. 2025.12.25;/;EM2013;12/25/25;1200;2/13/10;AAAA-02-06;12/7/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003888;7300;EL0112 is non conforming;EL0112;0;0;1;240,23;/;awaiting QA decision. 2025.12.25;/;EM1893;12/25/25;1200;2/18/11;AAAA-02-06;12/14/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003849;7300;EL0112 is non conforming;EL0112;0;0;1;;/;awaiting QA confirmation. 025.12.26;CCCC-04-01;EM1187;12/26/25;1200;7/1/12;AAAA-02-06;12/2/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003889;7300;EL0112 is non conforming;EL0112;0;0;1;240,23;/;confirmed, awaiting QA decision, 2025.12.27.;/;EM348;12/27/25;1200;2/27/12;AAAA-02-06;12/15/25;1. Related to EL2415 NC;Cancel releasing clamping force
AA1;AA1_003792;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;after OP7300 awaiting QA confirmation, 2025.11.17QA recommendation: continue, 2025.11.17;CCCC-04-06;EM1187;11/17/25;1200;9/29/11;AAAA-02-09;11/9/25;AAAA-02-09 deviation, laser inspection and no adjustment, suspect tool calibration NOK by probe;Add manual tool calibration, check and change tool calibration cube
AA1;AA1_003802;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;OP7400 finished, QA, 2025.11.19;CCCC-04-03;EM2013;11/19/25;1200;8/31/10;AAAA-02-09;11/12/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003801;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;OP7200 DA;recommendation: continue, after OP7300 waiting for QA reply, 2025.11.19 FCTD , see attachment, 2025.11.20;CCCC-04-01;EM1782;11/19/25;1200;9/22/12;AAAA-02-09;11/11/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003801;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;OP7200 DA;recommendation: continue, after OP7300waiting for QA reply, 2025.11.19 FCTD , see attachment, 2025.11.20;CCCC-04-01;EM1782;11/19/25;1200;9/22/12;AAAA-02-09;11/11/25;AAAA-02-09 deviation, laser inspection and no adjustment, suspect tool calibration NOK by probe;Add manual tool calibration, check and change tool calibration cube
AA1;AA1_003813;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;\;after OP7300 awaiting QA confirmation. 2025.11.28 DA updated: QA email replyafter OP7300FCTD. 2025.11.28 DA updated: FCTD see attachment, awaiting QA decision. 2025.11.30;CCCC-04-01;EM31;11/28/25;1200;7/31/11;AAAA-02-09;11/16/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003813;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;\;after OP7300 awaiting QA confirmation. 2025.11.28 DA updated: QA email replyafter OP7300FCTD. 2025.11.28 DA updated: FCTD see attachment, awaiting QA decision. 2025.11.30;CCCC-04-01;EM31;11/28/25;1200;7/31/11;AAAA-02-09;11/16/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003813;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;\;after OP7300 awaiting QA confirmation. 2025.11.28 DA updated: QA email replyafter OP7300FCTD. 2025.11.28 DA updated: FCTD see attachment, awaiting QA decision. 2025.11.30;CCCC-04-01;EM31;11/28/25;1200;7/31/11;AAAA-02-09;11/16/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003819;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;continue operation, after OP7400 concession. 2025.11.28;CCCC-04-04;EM348;11/28/25;1200;2/13/10;AAAA-02-09;11/18/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003822;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;FRC, OP7400QA, 2025.11.29 FCTD see attachment, 2025.12.03;CCCC-04-01;EM1187;11/29/25;1200;2/13/10;AAAA-02-09;11/19/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003804;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;continue operation after OP7300,waiting for QA reply if need to re-measure, 2025.11.19,FCTD, 2025.11.21;CCCC-04-04;EM2294;11/19/25;1200;7/20/12;AAAA-02-09;11/12/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003804;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;continue operation after OP7300waiting for QA reply if need to re-measure, 2025.11.19,FCTD, 2025.11.21;CCCC-04-04;EM2294;11/19/25;1200;7/20/12;AAAA-02-09;11/12/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003791;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;recommendation: continue. 2025.11.21 FCTD see attachment, 2025.11.25;CCCC-04-02;EM781;11/21/25;1200;2/13/10;AAAA-02-09;11/7/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003809;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;confirmed, recommendation: continue, after OP7400awaiting QA decision, 2025.11.24.;CCCC-04-01;EM2243;11/24/25;1200;7/31/11;AAAA-02-09;11/14/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003811;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;sent to production for re-measurement, 2025.11.25 FCTD see attachment, 2025.11.26;CCCC-04-01;EM1187;11/25/25;1200;9/29/11;AAAA-02-09;11/15/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003811;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;sent to production for re-measurement, 2025.11.25 FCTD see attachment, 2025.11.26;CCCC-04-01;EM1187;11/25/25;1200;9/29/11;AAAA-02-09;11/15/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003818;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;CO2910-R342 out of tolerance;confirmed, recommendation: continue, 2025.11.25.FCTD, see attachment 2025.11.27;CCCC-04-01;EM2294;11/25/25;1200;9/22/12;AAAA-02-09;11/18/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003816;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;confirmed, recommendation: continue, 2025.11.25.;CCCC-04-02;EM1323;11/25/25;1200;2/13/10;AAAA-02-09;11/17/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003820;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;confirmed, recommendation: continue, 2025.11.26.;CCCC-04-02;EM2294;11/26/25;1200;6/15/12;AAAA-02-09;11/19/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003824;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;/;after OP7300 awaiting QA confirmation, 2025.12.01, FCTD re-measurement completed, 2025.12.01;CCCC-04-02;EM2295;11/30/25;1200;2/13/10;AAAA-02-09;11/20/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003826;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;;CO2910-R342 is the second DA, and CO2910-335 is the third DA;after OP7300 awaiting QA confirmation, 2025.12.02 FCTD see attachment2025.12.03;CCCC-04-01;EM2294;12/2/25;1200;7/20/12;AAAA-02-09;11/21/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003842;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;CO2910-R342;After OP7300 completed, QA will confirm whether a retest is needed. FCTD on 2025.12.02 is attached in 2025.12.03;CCCC-04-03;EM2253;12/9/25;1200;2/13/10;AAAA-02-06;11/30/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003845;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;\;Awaiting QA's response on whether to conduct a retest. 2025.12.12;CCCC-04-01;EM31;12/12/25;1200;2/27/12;AAAA-02-06;12/1/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003850;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;Awaiting QA's response on whether to conduct a retest. 2025.12.12FCTD see attachment. 2025.12.12;CCCC-04-02;EM2243;12/12/25;1200;2/27/12;AAAA-02-06;12/2/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003817;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;120,89;CO2910-R342;After OP7300 awaiting QA confirmation  whether to conduct a retest. 2025.12.15,FCTD re-measurement completed, 2025.12.16;CCCC-04-02;EM2253;12/15/25;1200;9/22/12;AAAA-02-09;11/18/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003861;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;after OP7300 awaiting QA confirmation  whether to conduct a retest, find 2025.12.16FCTD  attachment , 2025.12.17;CCCC-04-02;EM1323;12/16/25;1200;12/20/12;AAAA-02-06;12/5/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA2;AA2_003051;7400;Appearance is non conforming;Appearance;;;;;OP7400:non-balance side bulge, (marking holes 19–20);see attachment, waiting for QA decision, 2025.12.16 DA updated: rework orderresult, NOK(color difference), dimension OK. 2025.12.22;/;EM752;12/16/25;4940;;;;1. Marking NC due to marking machine precision NOK;Maintenance marking machine
AA1;AA1_003867;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;CO2910-R342;after OP7300 awaiting QA confirmation. 2025.12.19 FCTD re-measurement completed, waiting for QA reply if continue operation, 2025.12.21;CCCC-04-01;EM2243;12/19/25;1200;2/13/10;AAAA-02-06;12/6/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003859;7200;CO1210 is non conforming;CO1210;88,2;-1,25;1,25;89,63;after re-measurement,dimension out of tolerance;after OP7300, awaiting QA confirmation whether to conduct a retes, 2025.12.21 DA updated: mini program on 2025.12.22(CCCC-04-02)re-measurement completed, result OK. 2025.12.22;CCCC-04-01;EM891;12/21/25;1200;9/22/12;AAAA-02-06;12/5/25;AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003881;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;120,95;/;after OP7300, awaiting QA confirmation whether to conduct a retes. 2025.12.22FCTD see attachment. 2025.12.25;CCCC-04-03;EM2013;12/22/25;1200;6/15/12;AAAA-02-06;12/12/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003881;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;120,95;/;after OP7300QA. 2025.12.22FCTD see attachment. 2025.12.25;CCCC-04-03;EM2013;12/22/25;1200;6/15/12;AAAA-02-06;12/12/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003884;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;0;OP7200 DA;after OP7300, awaiting QA confirmation whether to conduct a retes, 2025.12.23 DA updated: FCTD see attachment. 2025.12.23;CCCC-04-01;EM1782;12/23/25;1200;2/13/10;AAAA-02-06;12/13/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA2;AA2_003033;7200;EL0609 is non conforming;EL0609;0;;2;2,32;after re-measurement,dimension out of tolerance;waiting for QA decision, 2025.12.24;CCCC-04-02;EM891;12/24/25;0;;;;not clear, only one case;N/A
AA2;AA2_003033;7200;CO2410 is non conforming;CO2410;35;-1,5;1,5;36,9;after re-measurement,dimension out of tolerance;waiting for QA decision, 2025.12.24;CCCC-04-02;EM891;12/24/25;0;;;;not clear, only one case;N/A
AA1;AA1_003894;7200;DI1104 is non conforming;DI1104;0;;0,8;1,39;/;confirmed, recommendation: continue, after OP7300 ask QA whether to conduct a retest, 2025.12.24.;CCCC-04-01;EM1383;12/24/25;0;;;;Not clear, YTD DA rate 3%;N/A
AA1;AA1_003888;7200;DI1104 is non conforming;DI1104;0;;0,8;1,87;/;after OP7300,ask QA whether to conduct a retest, 2025.12.25see after re-measurement(AL0102)(AL0112)(AL0212)see mini programafter re-measurementDA2512260120result. DI1104awaiting QA decision, 2025.12.26;CCCC-04-01;EM2243;12/25/25;0;;;;Not clear, YTD DA rate 3%;N/A
AA1;AA1_003888;7200;AL0212 is non conforming;AL0212;0;0;4;4,62;/;after OP7300,ask QA whether to conduct a retest, 2025.12.25see after re-measurement(AL0102)(AL0112)(AL0212)see mini programafter re-measurementDA2512260120result. DI1104awaiting QA decision, 2025.12.26;CCCC-04-01;EM2243;12/25/25;0;;;;Only 1 case, not cear;N/A
AA1;AA1_003895;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;after OP7300,awaiting QA confirmation, 2025.12.28,FCTDre-measurement completed, 2025.12.29;CCCC-04-01;EM1187;12/28/25;1200;2/13/10;AAAA-02-09;12/17/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003895;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;/;after OP7300 awaiting QA confirmation,whether to conduct a retest. 2025.12.28,FCTD re-measurement completed, 2025.12.29;CCCC-04-01;EM1187;12/28/25;1200;2/13/10;AAAA-02-09;12/17/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003893;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;CO2910-R342;after OP7300,ask QA whether to conduct a retest,, 2025.12.28;CCCC-04-03;EM2243;12/28/25;1200;9/5/11;AAAA-02-09;12/16/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003900;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;120,89;CO2910-R342;after OP7300,ask QA whether to conduct a retest,. FCTD re-measurement completed, 2025.12.30;CCCC-04-01;EM2253;12/30/25;1200;3/20/12;AAAA-02-09;12/19/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
AA1;AA1_003789;7400;Scratch is non conforming;Scratch;;;;;balance side marking 29 th flange scratch;Upon visual inspection, no shot blasting marks were found on the part surface, pending QA processing. On November 15, 2025, the rework was completed. However, after rework, the 29th flange skirt and the balancing area of the vehicle exhibited collapse and discoloration, pending QA confirmation. On December 1, 2025;/;EM2217;11/15/25;0;;;;;
AA1;AA1_003826;7200;CO2910 is non conforming;CO2910;120,2;-0,6;0,6;;CO2910-R342 is the second DA, and CO2910-335 is the third DA;After OP7300 concludes, QA will confirm whether retesting is required. FCTD on 2025.12.02 is attached in 2025.12.03;CCCC-04-01;EM2294;12/2/25;1200;7/20/12;AAAA-02-09;11/21/25;1. AAAA-02-09 deviation, suspect tool calibration NOK;Add manual tool calibration
